idealista_id,typology,area_in_m2,floor,region_parish,price_in_euros,seller contact,link_idealista,idealista_ad_title
31484915,T2 ,108, ,campolide,810000,215560203.0,https://www.idealista.pt/imovel/31484915/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31484904,T2 ,92, ,campolide,700000,215560203.0,https://www.idealista.pt/imovel/31484904/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31484903,T2 ,91, ,campolide,715000,215560203.0,https://www.idealista.pt/imovel/31484903/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31484189,T2 ,70,2º andar ,campolide,315000,215550736.0,https://www.idealista.pt/imovel/31484189/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31481806,T2 ,58,1º andar ,campolide,460000,215550578.0,https://www.idealista.pt/imovel/31481806/,"Apartamento T2 na rua Arco do Carvalhão, Bairro Calçada dos Mestres, Campolide"
31481284,T2 ,55, ,campolide,245000,215565713.0,https://www.idealista.pt/imovel/31481284/,"Duplex em Centro - Nova Campolide, Campolide"
31480739,T3 ,98,Rés do chão ,campolide,495000,215550613.0,https://www.idealista.pt/imovel/31480739/,"Apartamento T3 em Centro - Nova Campolide, Campolide"
29535721,T5 ,342,10º andar ,campolide,2755000,215563064.0,https://www.idealista.pt/imovel/29535721/,"Apartamento T5 em Centro - Nova Campolide, Campolide"
31468853,T2 ,115,2º andar ,campolide,449900,215550521.0,https://www.idealista.pt/imovel/31468853/,"Apartamento T2 na rua de Campolide, Praça de Espanha - Sete Rios, Campolide"
31479191,T2 ,60,1º andar ,campolide,245000,215562074.0,https://www.idealista.pt/imovel/31479191/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31479092,T2 ,90,9º andar ,campolide,450000,215560157.0,https://www.idealista.pt/imovel/31479092/,"Apartamento T2 em Praça de Espanha - Sete Rios, Campolide"
31478603,T0 ,103,,campolide,200000,,https://www.idealista.pt/imovel/31478603/,"Moradia independente na rua Cotovelo, 271, Bairro da Serafina - Bairro da Liberdade, Campolide"
31478326,T2 ,58,,campolide,460000,215552837.0,https://www.idealista.pt/imovel/31478326/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31476845,T3 ,69,1º andar ,campolide,255000,215560280.0,https://www.idealista.pt/imovel/31476845/,"Apartamento T3 na rua Leandro Braga, Centro - Nova Campolide, Campolide"
31476709,T1 ,65,3º andar ,campolide,520000,215557625.0,https://www.idealista.pt/imovel/31476709/,"Apartamento T1 em Centro - Nova Campolide, Campolide"
31476708,T2 ,104,3º andar ,campolide,760000,215557625.0,https://www.idealista.pt/imovel/31476708/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31476707,T2 ,92,2º andar ,campolide,710000,215557625.0,https://www.idealista.pt/imovel/31476707/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31476698,T2 ,92,1º andar ,campolide,700000,215557625.0,https://www.idealista.pt/imovel/31476698/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31476706,T2 ,91,1º andar ,campolide,715000,215557625.0,https://www.idealista.pt/imovel/31476706/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31476705,T2 ,92,1º andar ,campolide,700000,215557625.0,https://www.idealista.pt/imovel/31476705/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31476674,T2 ,92,1º andar ,campolide,700000,215557625.0,https://www.idealista.pt/imovel/31476674/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31476697,T2 ,91,1º andar ,campolide,715000,215557625.0,https://www.idealista.pt/imovel/31476697/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31476673,T2 ,92,2º andar ,campolide,710000,215557625.0,https://www.idealista.pt/imovel/31476673/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31476684,T2 ,101,2º andar ,campolide,760000,215557625.0,https://www.idealista.pt/imovel/31476684/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31476683,T2 ,92,2º andar ,campolide,710000,215557625.0,https://www.idealista.pt/imovel/31476683/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
30393065,T1 ,57,4º andar ,campolide,475000,215557625.0,https://www.idealista.pt/imovel/30393065/,"Apartamento T1 em Centro - Nova Campolide, Campolide"
31476405,T2 ,106,2º andar ,campolide,730000,215557625.0,https://www.idealista.pt/imovel/31476405/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31476204,T2 ,118,2º andar ,campolide,590000,215550117.0,https://www.idealista.pt/imovel/31476204/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31475942,T2 ,74,,campolide,220000,215552816.0,https://www.idealista.pt/imovel/31475942/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31474663,T1 ,75,15º andar ,campolide,500000,215550117.0,https://www.idealista.pt/imovel/31474663/,"Apartamento T1 em Centro - Nova Campolide, Campolide"
31474648,T5 ,379,8º andar ,campolide,2600000,215557625.0,https://www.idealista.pt/imovel/31474648/,"Apartamento T5 em Centro - Nova Campolide, Campolide"
31474645,T1 ,65,4º andar ,campolide,525000,215557625.0,https://www.idealista.pt/imovel/31474645/,"Apartamento T1 em Centro - Nova Campolide, Campolide"
31474633,T5 ,379,10º andar ,campolide,2755000,215557625.0,https://www.idealista.pt/imovel/31474633/,"Apartamento T5 em Centro - Nova Campolide, Campolide"
31473721,T2 ,87,4º andar ,campolide,435000,215560157.0,https://www.idealista.pt/imovel/31473721/,"Apartamento T2 na rua Eduardo Malta, Praça de Espanha - Sete Rios, Campolide"
31471361,T1 ,90,9º andar ,campolide,450000,215560157.0,https://www.idealista.pt/imovel/31471361/,"Apartamento T1 na rua Eduardo Malta, Praça de Espanha - Sete Rios, Campolide"
31471994,T2 ,106,3º andar ,campolide,775000,215557625.0,https://www.idealista.pt/imovel/31471994/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31471993,T2 ,104,4º andar ,campolide,770000,215557625.0,https://www.idealista.pt/imovel/31471993/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31471992,T2 ,102,7º andar ,campolide,870000,215557625.0,https://www.idealista.pt/imovel/31471992/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31471991,T1 ,63,3º andar ,campolide,520000,215557625.0,https://www.idealista.pt/imovel/31471991/,"Apartamento T1 em Centro - Nova Campolide, Campolide"
31471990,T2 ,93,1º andar ,campolide,735000,215557625.0,https://www.idealista.pt/imovel/31471990/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31471989,T2 ,102,1º andar ,campolide,745000,215557625.0,https://www.idealista.pt/imovel/31471989/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31471988,T1 ,65,1º andar ,campolide,500000,215557625.0,https://www.idealista.pt/imovel/31471988/,"Apartamento T1 em Centro - Nova Campolide, Campolide"
31471987,T1 ,104,1º andar ,campolide,655000,215557625.0,https://www.idealista.pt/imovel/31471987/,"Apartamento T1 em Centro - Nova Campolide, Campolide"
31471986,T1 ,63,4º andar ,campolide,525000,215557625.0,https://www.idealista.pt/imovel/31471986/,"Apartamento T1 em Centro - Nova Campolide, Campolide"
31471984,T2 ,106,2º andar ,campolide,730000,215557625.0,https://www.idealista.pt/imovel/31471984/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
